budget,runtime,vote_average,vote_count,popularity,release_year,release_month,roi,primary_genre,revenue
14000000.0,109.0,6.9,47.0,6.972599,1993.0,7.0,0.9654132857142858,Drama,27515786.0
11000000.0,97.0,6.7,99.0,5.868677,1994.0,3.0,0.039926636363636366,Comedy,11439193.0
11500000.0,134.0,7.5,213.0,12.222576,1993.0,11.0,1.0206879130434783,Drama,23237911.0
40000000.0,128.0,5.9,83.0,4.985157,1994.0,6.0,-0.3916919,Comedy,24332324.0
22000000.0,104.0,4.2,309.0,8.685798,1993.0,4.0,-0.5138086363636364,Action,10696210.0
20000000.0,104.0,6.4,575.0,17.136672,1993.0,7.0,0.78698775,Comedy,35739755.0
11500000.0,100.0,5.7,36.0,9.796318,1993.0,9.0,-0.7151665217391304,Action,3275585.0
800000.0,114.0,5.6,10.0,0.941994,1993.0,10.0,0.25179625,Drama,1001437.0
12000000.0,114.0,7.2,187.0,5.914833,1993.0,9.0,0.8958635833333334,Drama,22750363.0
22000000.0,195.0,8.3,4436.0,41.725123,1993.0,11.0,13.607525772727273,Drama,321365567.0
13000000.0,95.0,6.4,137.0,5.305311,1994.0,4.0,-0.39840861538461536,Comedy,7820688.0
25000000.0,108.0,5.4,140.0,7.881107,1994.0,7.0,0.9225374,Adventure,48063435.0
21000000.0,105.0,6.5,630.0,10.234919,1993.0,6.0,9.847613523809525,Comedy,227799884.0
40000000.0,108.0,4.9,144.0,11.23297,1993.0,5.0,1.9075,Drama,116300000.0
28000000.0,117.0,7.9,3833.0,96.272374,1982.0,6.0,0.18355778571428571,Science Fiction,33139618.0
20000000.0,93.0,6.1,131.0,8.051914,1993.0,7.0,-0.42072585,Comedy,11585483.0
48000000.0,104.0,4.0,236.0,7.198455,1993.0,5.0,-0.5642611458333333,Adventure,20915465.0
7400000.0,96.0,6.1,53.0,3.644641,1994.0,4.0,0.039190945945945944,Action,7690013.0
50000000.0,102.0,5.0,82.0,8.012225,1994.0,9.0,-0.670422,Action,16478900.0
18000000.0,76.0,7.6,2135.0,17.730913,1993.0,10.0,3.201911611111111,Fantasy,75634409.0
